date,region,channel,revenue,units,discount_pct,rating,churned
2023-02-10,South,Retail,453.26,9,4.5,3.9,0
2023-02-11,West,Retail,406.77,2,1.4,3.8,0
2023-02-12,East,Online,,11,9.2,2.9,1
2023-02-13,South,Online,442.39,9,6.6,4.7,0
2023-02-14,West,Retail,618.35,13,0.0,3.9,0
2023-02-15,West,Partner,481.03,12,5.9,4.5,0
2023-02-16,South,Online,571.19,6,4.4,5.0,0
2023-02-17,North,Retail,583.52,6,14.3,3.9,0
2023-02-18,East,Retail,547.22,12,1.2,3.8,0
2023-02-19,North,Online,571.97,11,2.2,4.2,0
2023-02-20,North,Online,,9,12.4,4.7,0
2023-02-21,North,Partner,529.62,9,13.4,3.8,0
2023-02-22,East,Retail,441.02,11,5.0,3.7,0
2023-02-23,East,Online,412.16,11,5.5,4.7,0
2023-02-24,East,Partner,487.84,11,10.5,4.3,0
2023-02-25,East,Online,666.15,13,0.0,2.9,0
2023-02-26,South,Partner,523.21,4,0.6,3.4,1
2023-02-27,East,Online,667.5,16,6.9,5.0,0
2023-02-28,North,Retail,669.41,17,14.2,4.3,0
2023-03-01,North,Online,697.5,16,6.3,3.6,0
2023-03-02,East,Online,519.74,8,8.4,4.0,0
2023-03-03,South,Partner,571.6,13,12.5,4.1,0
2023-03-04,East,Online,637.57,15,16.4,4.5,0
2023-03-05,East,Online,548.07,16,5.7,3.3,0
2023-03-06,East,Online,629.49,10,7.9,,0
2023-03-07,East,Retail,631.83,12,15.3,,0
2023-03-08,East,Retail,555.61,13,1.9,4.0,1
2023-03-09,South,Partner,466.65,9,12.1,4.4,0
2023-03-10,North,Online,578.55,8,3.9,3.4,0
2023-03-11,South,Online,554.74,12,8.4,4.3,0
2023-03-12,North,Online,688.49,16,7.0,4.8,0
2023-03-13,South,Retail,496.64,10,4.2,4.4,0
2023-03-14,West,Partner,,11,4.1,4.2,0
2023-03-15,North,Retail,,14,9.1,4.0,0
2023-03-16,North,Retail,717.19,19,12.0,3.6,0
2023-03-17,North,Online,,13,7.5,4.1,1
2023-03-18,North,Partner,767.47,14,8.3,,0
2023-03-19,East,Online,544.67,11,10.3,4.0,0
2023-03-20,East,Online,,17,4.1,3.6,1
2023-03-21,East,Online,581.35,7,11.0,3.8,0
2023-03-22,East,Online,693.54,10,11.3,4.2,0
2023-03-23,South,Online,574.08,5,18.4,3.9,0
2023-03-24,West,Online,489.07,10,6.5,4.4,0
2023-03-25,North,Online,566.1,8,6.2,4.4,0
2023-03-26,North,Retail,682.71,13,11.1,4.6,0
2023-03-27,North,Online,587.64,14,11.3,5.0,0
2023-03-28,East,Online,699.39,12,5.9,4.7,0
2023-03-29,South,Partner,685.82,14,6.4,,0
2023-03-30,North,Retail,647.26,12,10.2,3.6,1
2023-03-31,South,Retail,604.22,14,4.7,4.1,1
2023-04-01,North,Online,656.42,15,6.4,3.8,0
2023-04-02,East,Partner,597.09,10,8.4,3.4,0
2023-04-03,South,Online,642.45,12,12.0,3.8,0
2023-04-04,South,Online,587.26,15,5.6,3.8,0
2023-04-05,South,Partner,713.46,16,0.6,3.7,0
2023-04-06,East,Retail,614.84,8,0.3,3.9,0
2023-04-07,South,Retail,665.07,15,3.0,4.8,0
2023-04-08,North,Retail,728.58,11,2.7,4.2,0
2023-04-09,North,Retail,779.54,20,7.4,5.0,0
2023-04-10,West,Online,3900.0,13,3.2,4.2,0
2023-04-11,West,Online,542.53,12,5.2,3.9,0
2023-04-12,East,Online,651.8,14,4.9,4.1,0
2023-04-13,North,Online,673.64,13,6.2,4.3,0
2023-04-14,West,Partner,597.03,14,13.3,4.4,0
2023-04-15,East,Online,711.04,13,10.6,5.0,0
2023-04-16,East,Retail,708.95,15,8.1,3.6,1
2023-04-17,South,Retail,719.91,17,6.2,4.6,0
2023-04-18, north ,Retail,844.01,15,6.3,4.2,0
2023-04-19,North,Online,718.39,13,9.3,3.2,1
2023-04-20,West,Online,586.15,8,10.3,4.6,0
2023-04-21,South,Partner,575.55,8,4.4,4.9,0
2023-04-22,North,Retail,752.51,10,8.1,3.6,0
2023-04-23,South,Retail,580.66,14,0.0,4.1,0
2023-04-24,East,Partner,795.84,22,8.8,3.1,1
2023-04-25,North,Retail,782.58,20,11.0,3.3,1
2023-04-26,West,Online,554.14,6,6.9,4.7,0
2023-04-27,East,Retail,,18,15.3,3.8,0
2023-04-28,East,Online,538.02,15,4.5,3.4,0
2023-04-29,South,Retail,491.97,8,8.9,4.2,0
2023-04-30,East,Partner,749.43,15,7.9,3.8,0
2023-05-01,East,Retail,699.83,8,7.6,3.8,0
2023-05-02,East,Online,715.01,15,7.5,4.5,0
2023-05-03,North,Online,680.91,10,8.4,3.4,0
2023-05-04,South,Partner,639.93,13,11.4,3.6,0
2023-05-05,North,Online,918.17,14,13.5,4.2,0
2023-05-06,South,Online,702.69,16,8.0,4.7,0
2023-05-07,South,Online,658.6,16,11.3,4.8,0
2023-05-08,North,Online,753.43,13,5.2,3.7,0
2023-05-09,North,Online,758.62,12,11.1,4.7,0
2023-05-10,East,Retail,563.48,5,5.0,3.6,0
2023-05-11,North,Online,808.43,16,12.4,5.0,0
2023-05-12,West,Online,653.54,11,16.8,3.4,1
2023-05-13,East,Online,607.87,8,7.5,4.9,0
2023-05-14,South,Online,612.46,14,0.0,3.7,0
2023-05-15,East,Online,640.9,12,5.8,5.0,0
2023-05-16,North,Retail,733.23,12,12.9,4.5,0
2023-05-17,West,Online,605.9,10,10.2,3.5,0
2023-05-18,South,Online,519.73,14,9.0,3.8,0
2023-05-19,East,Online,772.44,17,12.0,4.6,0
2023-05-20,North,Online,861.89,17,9.9,4.7,0
2023-05-21,South,Online,653.22,15,12.9,4.1,0
2023-05-22,South,Online,498.87,6,11.7,4.1,0
2023-05-23,West,Partner,541.77,11,14.1,4.6,0
2023-05-24,East,Online,825.14,17,9.4,4.2,0
2023-05-25,South,Retail,483.22,8,11.6,3.3,1
2023-05-26,North,Online,797.27,17,6.8,3.6,0
2023-05-27,South,Online,598.52,10,5.6,4.2,0
2023-05-28,South,Online,739.16,16,14.8,4.8,0
2023-05-29,South,Retail,637.3,14,8.9,5.0,0
2023-05-30,North,Retail,858.2,9,11.2,4.6,0
2023-05-31,West,Online,663.58,17,8.5,4.3,0
2023-06-01,West,Online,754.1,6,5.7,4.5,0
2023-06-02,North,Online,821.95,15,8.0,3.7,0
2023-06-03,East,Online,783.96,19,13.7,4.0,0
2023-06-04,North,Retail,736.37,14,10.2,3.6,1
2023-06-05,East,Online,844.73,13,1.2,3.4,0
2023-06-06,North,Online,791.24,13,7.1,4.3,0
2023-06-07,East,Partner,725.91,18,15.1,4.2,0
2023-06-08,East,Online,765.48,10,7.1,4.5,0
2023-06-09,East,Online,659.52,17,0.8,4.4,0
2023-06-10,North,Retail,868.81,17,15.6,4.2,0
2023-06-11,West,Online,708.88,11,10.7,4.4,0
2023-06-12,North,Online,,16,7.7,4.1,0
2023-06-13,North,Online,747.82,12,6.5,4.3,1
2023-06-14,East,Partner,769.65,18,12.3,3.7,0
2023-06-15,South,Online,,18,5.8,4.3,0
2023-06-16,West,Online,517.5,5,12.6,4.5,0
2023-06-17,West,Online,575.29,10,10.2,3.7,0
2023-06-18,South,Online,780.32,13,9.0,4.1,0
2023-06-19,West,Retail,672.55,17,8.6,3.7,1
2023-06-20,North,Online,,14,7.3,3.8,1
2023-06-21,South,Retail,854.28,22,12.2,3.4,0
2023-06-22, north ,Retail,910.56,18,4.5,4.9,0
2023-06-23,West,Retail,705.93,11,1.5,4.7,0
2023-06-24,North,Online,1071.67,20,10.5,4.4,0
2023-06-25,North,Partner,869.03,15,10.5,5.0,0
2023-06-26,South,Retail,676.87,10,9.9,4.0,0
2023-06-27,West,Online,696.07,14,9.6,5.0,0
2023-06-28,West,Retail,698.41,10,6.7,4.0,0
2023-06-29,East,Partner,769.65,9,11.1,4.3,0
2023-06-30,West,Online,598.53,11,7.8,3.9,0
2023-07-01,West,Partner,834.05,11,6.1,4.3,1
2023-07-02,South,Online,765.92,13,6.8,4.6,0
2023-07-03,South,Retail,693.5,11,16.1,4.0,0
2023-07-04,East,Partner,880.04,15,1.1,5.0,0
2023-07-05,East,Online,,22,10.0,4.2,0
2023-07-06,South,Retail,732.22,15,1.3,4.3,0
2023-07-07,North,Online,948.32,20,7.6,,0
2023-07-08,East,Retail,733.01,9,6.3,4.4,0
2023-07-09,North,Retail,937.8,17,0.0,4.0,0
2023-07-10,West,Online,820.31,17,9.6,3.7,0
2023-07-11,North,Online,949.91,16,6.5,3.6,0
2023-07-12,North,Online,893.03,21,0.0,5.0,1
2023-07-13,West,Online,655.58,10,11.4,3.9,0
2023-07-14,North,Online,894.8,17,13.7,3.2,0
2023-07-15,North,Online,907.82,17,14.0,3.7,0
2023-07-16,East,Online,812.03,17,9.4,4.1,0
2023-07-17,West,Online,761.46,13,8.2,4.4,0
2023-07-18,North,Retail,810.52,16,13.3,4.4,0
2023-07-19,South,Retail,832.62,16,14.7,4.5,0
2023-07-20,East,Retail,819.42,14,12.5,3.7,0
2023-07-21,West,Online,729.95,16,4.2,,1
2023-07-22,South,Partner,698.55,15,8.8,3.6,0
2023-07-23,North,Retail,1035.24,21,9.8,3.7,0
2023-07-24,North,Online,1031.51,20,0.8,3.5,0
2023-07-25,North,Online,1013.57,23,9.9,3.4,0
2023-07-26,North,Retail,842.45,16,17.1,4.7,0
2023-07-27,East,Online,917.2,18,10.6,4.5,0
2023-07-28,North,Retail,980.98,20,13.9,4.7,0
2023-07-29,South,Partner,677.11,19,8.7,4.1,0
2023-07-30,East,Online,863.1,13,7.7,,1
2023-07-31,East,Online,892.2,20,9.5,3.0,1
2023-08-01,North,Partner,999.89,15,4.7,,0
2023-08-02,West,Retail,,15,4.1,4.2,0
2023-08-03,East,Online,892.71,23,13.1,4.5,0
2023-08-04,East,Partner,977.35,21,13.5,4.3,0
2023-08-05,North,Partner,1055.1,22,4.0,3.5,0
2023-08-06,North,Retail,770.67,14,11.9,3.2,1
2023-08-07,West,Retail,707.86,14,7.7,3.7,0
2023-08-08,South,Online,795.15,15,9.4,4.4,0
2023-08-09,South,Online,685.75,11,9.8,4.5,0
2023-08-10,South,Retail,816.71,16,12.0,3.3,1
2023-08-11,East,Online,974.77,20,8.3,3.5,0
2023-08-12,West,Retail,661.82,11,13.6,3.7,0
2023-08-13,North,Retail,1009.47,18,9.2,3.9,0
2023-08-14,West,Online,676.89,10,10.5,,1
2023-08-15,North,Retail,943.05,20,4.7,3.2,0
2023-08-16,East,Online,1000.18,22,16.6,3.6,0
2023-08-17,East,Partner,860.66,18,9.9,4.2,0
2023-08-18,North,Online,1028.67,24,10.9,3.4,0
2023-08-19,North,Retail,867.41,18,1.6,4.0,0
2023-08-20,South,Retail,957.68,21,4.7,4.7,0
2023-08-21,West,Online,794.11,17,13.0,3.3,0
2023-08-22,East,Retail,895.27,18,9.1,4.0,0
2023-08-23,West,Retail,795.33,14,0.3,4.7,0
2023-08-24,West,Retail,657.91,20,12.2,3.8,0
2023-08-25,South,Retail,918.7,17,5.8,3.8,0
2023-08-26,East,Partner,892.88,16,13.6,4.8,0
2023-08-27,North,Online,1000.76,22,7.6,3.9,0
2023-08-28,North,Retail,982.7,21,8.8,4.8,0
2023-08-29,West,Online,723.75,10,12.7,4.4,0
2023-08-30,East,Retail,971.71,23,4.4,3.9,0
2023-08-31,North,Retail,1041.27,21,4.0,4.4,0
2023-09-01,South,Online,893.58,15,7.2,4.3,0
2023-09-02,East,Online,,22,11.3,4.7,0
2023-09-03,West,Partner,808.12,18,2.7,3.8,0
2023-09-04,East,Online,903.16,15,1.3,4.1,0
2023-09-05,South,Retail,1010.92,26,11.3,4.1,0
2023-09-06,South,Online,746.8,17,5.6,4.5,0
2023-09-07,South,Partner,946.55,19,6.4,3.5,0
2023-09-08,East,Online,1035.75,26,0.6,4.7,0
2023-09-09,West,Online,721.91,15,5.3,4.4,0
2023-09-10,South,Partner,1019.49,21,8.0,3.3,1
2023-09-11,North,Partner,1115.92,21,11.7,4.8,0
2023-09-12,North,Online,1116.3,25,4.9,5.0,0
2023-09-13,East,Online,951.36,21,14.6,4.7,0
2023-09-14,West,Retail,774.15,16,5.3,5.0,0
2023-09-15,North,Partner,1039.9,19,5.3,4.2,0
2023-09-16,North,Online,1083.98,22,14.1,3.1,0
2023-09-17,East,Retail,1055.0,21,8.8,3.0,0
2023-09-18,North,Retail,1073.49,18,5.8,4.3,0
2023-09-19,West,Retail,733.36,10,7.4,3.7,0
2023-09-20,South,Retail,938.35,21,13.4,3.6,0
2023-09-21,North,Retail,1131.52,15,13.9,4.1,0
2023-09-22,West,Online,847.67,18,4.7,4.5,0
2023-09-23,North,Partner,1123.38,21,7.8,3.2,1
2023-09-24,North,Partner,1054.32,25,8.4,3.8,0
2023-09-25,North,Retail,1010.33,19,4.1,5.0,0
2023-09-26,North,Online,1016.67,23,7.8,3.5,0
2023-09-27,North,Online,965.04,18,8.0,4.6,0
2023-09-28,North,Retail,1098.19,23,12.6,3.8,0
2023-09-29,North,Online,1077.84,24,12.8,4.4,0
2023-09-30,North,Partner,,20,6.7,4.8,0
2023-10-01,East,Online,776.35,19,7.1,4.5,0
2023-10-02,East,Retail,897.81,15,10.7,4.6,0
2023-10-03,South,Partner,981.46,21,5.7,3.4,0
2023-10-04,South,Online,858.2,20,10.4,4.8,0
2023-10-05,South,Online,931.68,21,7.6,3.6,0
2023-10-06,West,Retail,726.33,20,4.1,4.3,0
2023-10-07,West,Retail,925.95,17,4.2,4.3,0
2023-10-08,North,Online,1092.32,18,13.8,4.4,0
2023-10-09,North,Retail,1124.78,20,7.4,4.3,0
2023-10-10,North,Partner,1269.36,28,14.6,3.6,0
2023-10-11,North,Online,1214.79,26,5.9,3.3,1
2023-10-12,East,Online,982.46,20,9.2,4.6,0
2023-10-13,South,Online,878.67,14,17.6,4.2,0
2023-10-14,North,Online,1092.09,25,3.8,4.8,0
2023-10-15,South,Online,959.33,16,0.4,4.1,0
2023-10-16,South,Online,917.99,22,13.1,3.3,1
2023-10-17,North,Retail,1093.45,31,4.7,4.7,0
2023-10-18,West,Online,945.1,20,7.9,3.9,0
2023-10-19,North,Partner,1117.29,25,5.7,4.3,0
2023-10-20,West,Online,1006.49,19,9.1,3.7,1
2023-10-21,North,Online,1135.79,18,4.2,5.0,1
2023-10-22,West,Retail,973.61,18,7.3,3.6,0
2023-10-23,West,Partner,875.21,14,9.8,3.9,0
2023-10-24,West,Online,919.17,14,4.0,4.2,0
2023-10-25, north ,Online,802.6,21,5.2,3.4,0
2023-10-26, north ,Online,970.48,21,6.6,4.3,0
2023-10-27,East,Retail,1064.3,23,2.3,5.0,0
2023-10-28,East,Online,1103.2,22,6.3,3.8,0
2023-10-29,North,Online,,23,8.5,4.3,0
2023-10-30,South,Online,859.39,20,6.4,2.5,1
2023-10-31,South,Online,855.94,17,6.9,4.1,0
2023-11-01,West,Partner,,17,7.9,3.9,1
2023-11-02,South,Retail,830.87,16,5.4,3.6,0
2023-11-03,South,Online,963.98,19,10.8,4.7,0
2023-11-04,East,Online,1125.91,19,13.7,3.9,0
2023-11-05,North,Online,1159.7,18,6.1,4.0,0
2023-11-06,North,Online,1004.49,20,9.9,3.9,0
2023-11-07,South,Retail,949.85,19,7.0,2.9,1
2023-11-08,South,Partner,953.52,16,9.5,3.4,0
2023-11-09,North,Partner,1315.68,27,14.3,4.7,0
2023-11-10,South,Partner,866.36,18,10.0,2.8,1
2023-11-11,South,Partner,942.73,13,0.9,3.6,0
2023-11-12,South,Partner,1091.21,19,9.8,3.9,0
2023-11-13,South,Online,1005.02,22,12.9,5.0,0
2023-11-14,East,Online,1105.39,24,7.1,4.6,0
2023-11-15,North,Online,1189.46,21,12.0,3.8,0
2023-11-16,West,Retail,910.74,19,5.2,4.9,1
2023-11-17,West,Online,943.63,22,2.1,3.7,0
2023-11-18,South,Retail,925.46,21,8.6,4.7,0
2023-11-19,South,Retail,1045.3,21,1.0,3.3,0
2023-11-20,South,Retail,889.45,17,7.0,4.7,0
2023-11-21,West,Online,918.43,17,13.1,3.9,0
2023-11-22,East,Online,1093.51,24,0.4,3.5,0
2023-11-23,West,Online,855.42,18,2.9,4.0,0
2023-11-24,South,Partner,,22,3.9,4.3,0
2023-11-25,East,Retail,1043.06,22,7.7,3.8,0
2023-11-26,North,Retail,1129.3,25,6.5,4.4,0
2023-11-27,East,Online,1065.65,22,13.6,3.8,0
2023-11-28,North,Online,1131.2,25,11.8,4.5,0
2023-11-29,East,Online,1116.76,25,10.0,4.4,0
2023-11-30,West,Retail,828.97,14,8.6,4.1,0
2023-12-01,North,Retail,1264.56,20,9.6,3.8,0
2023-12-02,East,Online,1017.1,25,4.6,4.2,0
2023-12-03,North,Partner,1179.24,25,11.4,4.4,0
2023-12-04,East,Online,1059.84,16,3.6,5.0,0
2023-12-05,North,Partner,1315.8,25,11.3,4.7,0
2023-12-06,West,Online,941.96,21,12.7,4.7,0
2023-12-07,North,Online,1212.38,24,8.8,5.0,0
2023-12-08,West,Retail,956.87,18,7.3,4.4,0
2023-12-09,West,Online,776.02,20,9.6,4.4,0
2023-12-10,East,Online,1111.82,20,0.0,4.5,0
2023-12-11,East,Online,1256.55,23,9.2,3.5,0
2023-12-12,East,Online,1127.86,24,7.5,3.8,0
2023-12-13,West,Retail,934.51,20,7.8,3.8,0
2023-12-14,North,Partner,1280.13,28,10.8,4.5,0
2023-12-15,East,Partner,1186.93,27,7.7,4.0,0
2023-12-16,North,Online,1106.1,23,3.4,4.2,0
2023-12-17,East,Retail,1010.24,22,7.4,,0
2023-12-18,North,Online,1264.8,25,8.3,,0
2023-12-19,East,Online,1081.72,22,8.5,4.0,0
2023-12-20,East,Online,1225.48,25,8.6,3.7,0
2023-12-21,South,Partner,1016.82,21,12.2,4.8,0
2023-12-22,South,Partner,905.18,21,3.7,4.6,0
2023-12-23,East,Retail,1050.52,23,8.7,,1
2023-12-24,East,Retail,948.68,19,13.2,3.9,0
2023-12-25,South,Online,1029.37,19,1.1,4.2,0
2023-12-26,East,Retail,1131.73,23,8.7,4.6,0
2023-12-27,West,Retail,921.89,19,5.7,4.6,0
2023-12-28,North,Online,1346.4,28,6.5,4.3,0
2023-12-29,North,Online,,34,4.4,4.5,0
2023-12-30,North,Online,1263.11,24,7.3,4.1,0
2023-12-31,East,Partner,1004.89,22,15.4,3.7,0
2024-01-01,South,Online,1101.01,26,2.9,3.9,0
2024-01-02,East,Partner,1196.96,25,3.3,4.1,0
2024-01-03,East,Online,1181.62,31,2.8,4.1,0
2024-01-04, north ,Retail,1131.66,22,14.9,3.0,1
2024-01-05,West,Online,884.1,19,6.2,3.9,0
2024-01-06,East,Online,1306.21,24,7.9,4.1,0
2024-01-07,North,Online,,24,6.4,3.9,0
2024-01-08,South,Online,1122.29,24,4.2,4.0,0
2024-01-09,South,Partner,953.45,22,7.1,4.4,0
2024-01-10,North,Online,1232.8,26,17.8,3.5,0
2024-01-11,North,Retail,1406.15,33,13.6,3.1,0
2024-01-12,West,Online,958.3,19,4.6,3.9,0
2024-01-13, north ,Online,1137.23,22,10.6,4.6,0
2024-01-14,South,Retail,1096.75,30,4.7,5.0,0
2024-01-15,East,Online,1175.17,25,0.9,4.6,0
2024-01-16,East,Partner,1279.87,24,12.1,3.2,1
2024-01-17,West,Retail,967.79,18,12.6,4.0,0
2024-01-18,East,Retail,1063.51,19,12.2,4.3,0
2024-01-19,South,Online,1032.53,24,6.1,4.2,0
2024-01-20,South,Online,1129.06,22,7.3,4.4,0
2024-01-21,West,Partner,1018.29,21,11.0,3.5,0
2024-01-22,East,Online,1085.99,22,9.6,4.1,0
2024-01-23,West,Online,943.02,21,6.4,4.4,1
2024-01-24,North,Online,1286.32,24,1.5,4.6,0
2024-01-25,West,Retail,971.26,17,8.5,3.6,0
2024-01-26,East,Retail,1106.89,23,12.3,3.9,0
2024-01-27,North,Retail,1289.29,28,3.2,2.5,0
2024-01-28,East,Retail,1155.96,25,10.6,3.7,0
2024-01-29,East,Online,1262.85,23,9.3,3.8,1
2024-01-30,North,Partner,1396.16,31,11.0,3.5,0
2024-01-31,South,Online,1099.19,20,11.5,,1
2024-02-01,West,Retail,980.32,18,5.2,4.1,0
2024-02-02,North,Online,1355.55,25,1.5,2.7,1
2024-02-03,South,Partner,1057.4,25,5.9,4.2,0
2024-02-04,South,Online,1036.0,23,11.6,3.5,0
2024-02-05,South,Online,1052.18,23,5.8,4.4,0
2024-02-06,West,Online,971.12,23,5.2,3.3,0
2024-02-07,East,Online,1144.32,32,0.7,4.1,0
2024-02-08,North,Online,1369.58,23,15.0,3.9,0
2024-02-09,West,Retail,,20,11.3,4.3,0
2024-02-10,West,Online,910.7,17,11.1,4.2,0
2024-02-11,North,Partner,1366.24,25,11.9,3.9,0
2024-02-12,West,Online,1009.52,17,10.3,3.2,0
2024-02-13,North,Retail,1392.55,28,7.0,3.2,1
2024-02-14,West,Online,1027.13,17,7.3,3.7,0
2024-02-15,East,Retail,1139.05,24,6.3,4.1,0
2024-02-16,East,Retail,1154.31,24,18.5,3.7,0
2024-02-17,North,Online,1379.02,30,10.2,4.5,0
2024-02-18,West,Partner,1106.29,24,6.1,3.9,0
2024-02-19,North,Online,1226.13,27,9.9,3.5,0
2024-02-20,North,Online,1407.4,28,4.0,3.9,0
2024-02-21,North,Retail,1468.55,36,14.0,,0
2024-02-22,East,Retail,1243.25,26,5.4,4.3,0
2024-02-23,North,Online,1427.95,24,10.0,5.0,0
2024-02-24,West,Online,994.43,17,12.3,3.7,0
2024-02-25,East,Partner,1251.24,20,9.5,4.1,0
2024-02-26,North,Retail,1282.22,26,8.4,4.4,0
2024-02-27,North,Partner,,25,8.0,4.1,0
2024-02-28, north ,Retail,1465.83,29,7.8,3.8,0
2024-02-29,East,Retail,1198.17,30,5.7,3.2,1
2024-03-01,West,Online,1021.11,22,6.2,3.8,0
2024-03-02,North,Partner,1309.03,29,13.9,3.5,0
2024-03-03,West,Online,957.42,17,7.6,3.1,1
2024-03-04,North,Retail,,26,4.9,3.6,0
2024-03-05,West,Online,1008.17,21,5.9,3.5,0
2024-03-06,West,Retail,1087.26,23,12.4,4.5,0
2024-03-07,East,Retail,1311.96,21,10.7,4.5,0
2024-03-08,East,Retail,1304.62,26,10.2,3.6,0
2024-03-09,West,Partner,1082.18,22,7.0,3.9,1
2024-03-10,North,Online,1533.16,31,10.3,3.0,0
2024-03-11,North,Retail,1350.07,25,5.4,3.8,0
2024-03-12,North,Online,1423.03,28,7.0,4.3,0
2024-03-13,South,Online,1260.93,25,11.9,4.6,0
2024-03-14,East,Online,1381.96,29,11.5,3.7,0
2024-03-15,East,Online,1195.8,26,4.1,4.7,0
2024-03-16,West,Online,1054.54,25,4.6,3.2,1
2024-03-17,North,Retail,1532.35,31,8.4,3.4,0
2024-03-18,East,Retail,1336.53,26,14.9,4.5,0
2024-03-19,North,Retail,1455.11,31,0.3,5.0,0
2024-03-20,North,Online,1428.28,31,9.1,4.4,0
2024-03-21,East,Online,,25,2.5,4.1,0
2024-03-22,West,Online,1105.94,25,5.5,2.8,1
2024-03-23,East,Retail,1292.69,29,6.5,2.9,1
2024-03-24,North,Partner,1448.86,34,6.3,,0
2024-03-25,East,Online,1319.62,32,5.9,3.9,0
2024-03-26,North,Retail,1408.53,26,8.0,3.4,0
2024-03-27,West,Online,1130.81,23,5.9,4.1,0
2024-03-28,East,Online,1523.76,31,2.2,4.2,0
2024-03-29,North,Online,1337.85,27,11.1,4.7,0
2024-03-30,North,Online,1487.0,29,11.0,4.2,0
2024-03-31,North,Retail,1413.19,24,11.4,4.8,0
2024-04-01,West,Partner,1141.78,24,1.8,4.1,0
2024-04-02,South,Online,1219.3,23,9.2,4.0,0
2024-04-03,East,Retail,1384.37,29,10.7,4.7,0
2024-04-04,East,Retail,1415.21,27,3.9,3.5,0
2024-04-05,East,Partner,1348.27,24,8.0,5.0,0
2024-04-06,North,Retail,1558.12,33,7.5,4.3,0
2024-04-07,West,Online,946.62,20,15.4,4.3,0
2024-04-08,South,Retail,1337.69,29,15.7,4.4,0
2024-04-09,East,Online,1368.57,35,1.3,5.0,0
2024-04-10,East,Partner,1419.65,30,18.0,4.6,0
2024-04-11,East,Online,1260.69,27,4.3,3.1,0
2024-04-12,West,Retail,,18,11.9,4.9,0
2024-04-13,North,Online,1503.66,27,11.9,3.9,0
2024-04-14,South,Online,1235.49,30,4.0,4.2,0
2024-04-15, north ,Partner,1258.21,23,10.0,3.3,1
2024-04-16,South,Retail,1316.04,24,7.6,4.4,0
2024-04-17,North,Online,1378.19,28,10.2,3.7,0
2024-04-18,North,Partner,1572.01,32,8.9,4.2,0
2024-04-19,North,Partner,1506.5,28,12.8,3.9,0
2024-04-20,South,Online,1232.74,24,8.3,5.0,0
2024-04-21,South,Retail,1145.74,27,7.3,5.0,0
2024-04-22,East,Online,1401.97,26,12.4,4.1,0
2024-04-23,East,Retail,1199.65,20,10.3,4.1,0
2024-04-24,South,Online,1299.27,29,10.9,3.9,0
2024-04-25,South,Online,,25,5.3,4.8,0
2024-04-26,North,Partner,1524.22,29,3.8,3.9,0
2024-04-27,East,Partner,1367.82,23,5.7,3.8,0
2024-04-28,South,Retail,1342.63,25,5.5,4.7,0
2024-04-29,North,Partner,1514.21,31,11.1,3.8,0
2024-04-30,South,Retail,1215.61,28,11.9,4.1,0
2024-05-01,South,Retail,1230.46,22,7.4,3.2,1
